gene	symbol	log2FoldChange	lfcSE	pvalue	padj
ENSG0108736	GENE8736	-4.27	0.269	0.12674875529055485	0.0027163179268353587
ENSG0112824	GENE12824	4.182	0.115	0.11795189042993881	0.002736921625818198
ENSG0104022	GENE4022	6.083	0.348	0.6556616019048362	0.0027487025338013057
ENSG0103526	GENE3526	1.954	0.465	0.01596771764468774	0.002750310498640791
ENSG0104756	GENE4756	-1.985	0.453	0.016450375811349782	0.002756974106463671
ENSG0107038	GENE7038	-5.032	0.457	0.2560791092358663	0.002763298513127081
ENSG0113457	GENE13457	3.27	0.382	0.05263600078160413	0.0027739456616946018
ENSG0115401	GENE15401	-1.507	0.286	0.010790308268317172	0.002779252355334291
ENSG0114854	GENE14854	-4.954	0.195	0.24133920061157343	0.002794673354428045
ENSG0106404	GENE6404	-5.835	0.128	0.5340115710113962	0.0027981425821767196
ENSG0100357	GENE357	-6.156	0.392	0.7164322680182909	0.0028113228961630615
ENSG0104370	GENE4370	-4.425	0.467	0.15097118850708857	0.002813232515528228
ENSG0102783	GENE2783	-4.054	0.132	0.1094246828719202	0.0028483792472553276
ENSG0104152	GENE4152	-2.679	0.234	0.031801273344310155	0.0028532284734675917
ENSG0106432	GENE6432	5.543	0.444	0.42035127133287875	0.0028641462549145137
ENSG0102454	GENE2454	1.485	0.143	0.010900243681548738	0.002864894206895497
ENSG0114292	GENE14292	5.042	0.261	0.26795657245768545	0.002866669610233685
ENSG0103449	GENE3449	-3.992	0.418	0.10423213646566032	0.002869712089408049
ENSG0117894	GENE17894	5.754	0.345	0.509557156656025	0.002872148476992329
ENSG0111796	GENE11796	4.591	0.349	0.17950183414268472	0.0028807271258691073
ENSG0101651	GENE1651	1.856	0.413	0.015324641297685404	0.00288408268523757
ENSG0105886	GENE5886	5.473	0.492	0.3984053580129264	0.0028920112954317016
ENSG0104576	GENE4576	-3.432	0.242	0.06369305302064032	0.002900935127951766
ENSG0113783	GENE13783	-1.881	0.345	0.015783282104354424	0.0029037403076841127
ENSG0107876	GENE7876	2.031	0.213	0.018070070559892737	0.0029059676283552335
ENSG0108472	GENE8472	-0.509	0.47	0.004598609843642798	0.0029074332085276978
ENSG0107466	GENE7466	-4.726	0.234	0.2060251769214383	0.0029294839862435305
ENSG0113246	GENE13246	4.008	0.289	0.1080335376069147	0.00293120853872024
ENSG0102132	GENE2132	3.526	0.475	0.07015379394455468	0.0029376312090541624
ENSG0105073	GENE5073	6.134	0.243	0.7342150379432403	0.002939131184872492
ENSG0108244	GENE8244	3.1	0.126	0.048007464935688415	0.002948677731986693
ENSG0110324	GENE10324	1.278	0.249	0.009385753051472157	0.0029720602433262757
ENSG0102070	GENE2070	4.842	0.112	0.23254609907604162	0.0029782289595683977
ENSG0108309	GENE8309	-6.41	0.211	0.9573206294096666	0.002989987113521951
ENSG0110742	GENE10742	-1.302	0.428	0.009686432569772307	0.0030022610168759546
ENSG0117209	GENE17209	-6.145	0.134	0.7589759456443542	0.0030081930751809736
ENSG0116473	GENE16473	5.657	0.103	0.49025181132651063	0.0030148689048505603
ENSG0102775	GENE2775	-6.361	0.313	0.9244351549227721	0.003016555982013037
ENSG0109235	GENE9235	3.996	0.437	0.11012148930560062	0.0030191719515157583
ENSG0104800	GENE4800	-1.521	0.324	0.011902574829237622	0.003026862741389749
ENSG0110521	GENE10521	4.949	0.213	0.2604879813603166	0.0030306000387223427
ENSG0113408	GENE13408	4.665	0.203	0.20246223422905363	0.0030393246702828908
ENSG0100320	GENE320	0.411	0.382	0.004403471511958634	0.003041132791088693
ENSG0106256	GENE6256	-5.583	0.448	0.46385268563152826	0.003049006027543397
ENSG0101625	GENE1625	-4.03	0.138	0.11479349258358107	0.0030531982393879713
ENSG0115688	GENE15688	0.937	0.238	0.007101250944143711	0.003056465856643237
ENSG0116375	GENE16375	-2.846	0.381	0.03964782447789583	0.003060739495118695
ENSG0101435	GENE1435	-2.429	0.352	0.02733776328962967	0.0030721623372113277
ENSG0103567	GENE3567	5.988	0.152	0.6746727739277121	0.0030802949814459253
ENSG0110085	GENE10085	1.957	0.373	0.017952040726021856	0.003084514089448732
ENSG0100688	GENE688	-5.709	0.471	0.5256614270786912	0.003085578959812032
ENSG0116550	GENE16550	-1.951	0.341	0.0178994417725179	0.003093477779364077
ENSG0100722	GENE722	1.738	0.335	0.01481138600355536	0.0030981175329343495
ENSG0100781	GENE781	-5.033	0.198	0.2878262286209853	0.003103745898496682
ENSG0117180	GENE17180	1.633	0.425	0.013575614637650557	0.0031222857884805693
ENSG0100017	GENE17	-5.586	0.428	0.4791304361752806	0.0031405830562375114
ENSG0109764	GENE9764	-1.812	0.106	0.016038739384510392	0.0031413259034065804
ENSG0103987	GENE3987	-5.145	0.103	0.32218285435704785	0.003141918841811969
ENSG0111484	GENE11484	-4.173	0.214	0.13458192811454883	0.003148448933028042
ENSG0104813	GENE4813	-6.21	0.297	0.8446961606375682	0.003158994610165474
ENSG0114809	GENE14809	-3.884	0.192	0.10441481767046012	0.0031659190511395784
ENSG0104153	GENE4153	-5.056	0.413	0.299913884519607	0.0031666030078365778
ENSG0113266	GENE13266	-0.823	0.296	0.00665910420050142	0.0031756339718468883
ENSG0110168	GENE10168	-5.655	0.363	0.5171344562709004	0.0031848719784908996
ENSG0107374	GENE7374	-6.074	0.191	0.7540498789258802	0.003184905157097982
ENSG0107899	GENE7899	-5.222	0.365	0.3510723376240862	0.003193452628972158
ENSG0101909	GENE1909	-2.171	0.186	0.02261480927037607	0.003204166423998617
ENSG0102174	GENE2174	-4.306	0.263	0.15478035882805452	0.0032110702861752384
ENSG0101053	GENE1053	5.447	0.351	0.43440761085570123	0.00322764051657063
ENSG0112500	GENE12500	-5.219	0.183	0.3589232999709362	0.0032748880527224016
ENSG0105168	GENE5168	-6.267	0.426	0.9225076898928872	0.0032772752242419627
ENSG0117949	GENE17949	-4.886	0.202	0.2672369579194813	0.0032882168235144195
ENSG0109821	GENE9821	4.285	0.484	0.15594770358326238	0.0032966597512088733
ENSG0110394	GENE10394	-4.703	0.176	0.2271392168940758	0.003296795811220263
ENSG0110624	GENE10624	1.977	0.112	0.019561186324915325	0.003300771187872585
ENSG0109240	GENE9240	-1.318	0.322	0.010821815131701662	0.003304089815004596
ENSG0107707	GENE7707	0.839	0.291	0.007030708949002928	0.003304724108140679
ENSG0100609	GENE609	5.66	0.465	0.540126061158773	0.0033128181858043146
ENSG0104429	GENE4429	5.097	0.209	0.32771141254476777	0.0033356696851240125
ENSG0106607	GENE6607	-5.326	0.15	0.40669185596639534	0.003370076949279845
ENSG0108757	GENE8757	-4.024	0.367	0.12617896989210242	0.003375259670776295
ENSG0114671	GENE14671	4.778	0.279	0.24938358638456282	0.0033822394904397713
ENSG0104737	GENE4737	-4.876	0.264	0.2744290322698384	0.0034081903534276025
ENSG0112121	GENE12121	3.834	0.464	0.10741785752506261	0.003408943985582341
ENSG0113567	GENE13567	0.966	0.452	0.008153448415308184	0.003419301137101384
ENSG0114536	GENE14536	-1.047	0.198	0.008796752367025706	0.003428803958401016
ENSG0115288	GENE15288	-5.755	0.468	0.609199907452639	0.0034309368742278636
ENSG0114706	GENE14706	2.822	0.471	0.04355091912566866	0.0034359122663848874
ENSG0112978	GENE12978	-4.896	0.213	0.2819331298747313	0.0034397142449313794
ENSG0109187	GENE9187	0.274	0.12	0.004426325818246757	0.003458876838666869
ENSG0108987	GENE8987	2.019	0.486	0.021469032932997956	0.003489715303385973
ENSG0107946	GENE7946	-5.974	0.239	0.7550825106880098	0.0034911930047240645
ENSG0103925	GENE3925	4.869	0.243	0.2814680399960583	0.003517372195560328
ENSG0109457	GENE9457	-3.083	0.258	0.056418847802263805	0.003519002321423836
ENSG0105548	GENE5548	6.231	0.192	0.9608828176863888	0.003524566313850114
ENSG0105097	GENE5097	5.711	0.179	0.6026272893322863	0.003529547293300811
ENSG0110830	GENE10830	3.799	0.117	0.10821008627310058	0.003541783243484902
ENSG0102268	GENE2268	-5.085	0.359	0.34428958164657564	0.0035437280720996443
ENSG0115209	GENE15209	-1.236	0.493	0.010847947032993077	0.0035663151501420286
ENSG0114071	GENE14071	5.772	0.418	0.6460341717504535	0.0035810012997241547
ENSG0117896	GENE17896	-1.232	0.312	0.010916352835221299	0.003602210772266137
ENSG0113551	GENE13551	1.013	0.32	0.008999579774721655	0.003615221526259445
ENSG0107120	GENE7120	4.16	0.137	0.15333568775080475	0.0036294084122633634
ENSG0100330	GENE330	-0.103	0.309	0.003981274381119393	0.003630049803430177
ENSG0100602	GENE602	-4.474	0.215	0.20530344276395163	0.0036620919392756717
ENSG0114666	GENE14666	3.975	0.396	0.13103348964758865	0.003663203548287485
ENSG0108361	GENE8361	-3.85	0.449	0.11723127290539903	0.0036677340215287443
ENSG0100821	GENE821	-5.23	0.276	0.40628275832357996	0.003670348218418795
ENSG0116932	GENE16932	5.456	0.347	0.49823963662452186	0.0036719819451618775
ENSG0114651	GENE14651	-4.445	0.252	0.20100192386453808	0.003678870040779139
ENSG0102501	GENE2501	4.992	0.246	0.3289098939759413	0.003679109449289578
ENSG0109256	GENE9256	-4.534	0.317	0.21819912205923941	0.0036868728194507636
ENSG0111883	GENE11883	0.088	0.468	0.004003493188414864	0.0036972721566223654
ENSG0102852	GENE2852	-2.377	0.184	0.031471272228647096	0.0037043499116092707
ENSG0116622	GENE16622	-0.68	0.475	0.006833771766581065	0.0037051918951016686
ENSG0110966	GENE10966	-1.023	0.197	0.009304925768573336	0.0037070070057225665
ENSG0114261	GENE14261	-2.0	0.267	0.022429992462685955	0.003707397209200304
ENSG0103791	GENE3791	3.407	0.11	0.07978658577818787	0.003719169843238304
ENSG0117650	GENE17650	-1.286	0.367	0.011886659696160762	0.0037360683837674587
ENSG0112070	GENE12070	-4.111	0.291	0.15259407438139294	0.0037733467986714696
ENSG0107562	GENE7562	4.337	0.273	0.18726454351506838	0.00377742931417396
ENSG0115243	GENE15243	-1.023	0.125	0.00948819397071754	0.003778766955589318
ENSG0107130	GENE7130	-1.217	0.215	0.011326450651347963	0.0037891269756422227
ENSG0114539	GENE14539	2.797	0.16	0.04739945306208537	0.0038244870773484637
ENSG0100235	GENE235	0.965	0.391	0.009119653850163667	0.0038268876220063737
ENSG0117270	GENE17270	2.323	0.109	0.031066902217426806	0.003839266490623065
ENSG0116136	GENE16136	5.173	0.275	0.4042762991690523	0.0038432712460223337
ENSG0114976	GENE14976	0.712	0.114	0.007295483533798275	0.0038445806432516666
ENSG0114190	GENE14190	3.882	0.47	0.1265188643803632	0.003845259732094594
ENSG0112821	GENE12821	6.08	0.325	0.9175000643725856	0.0038559309226078964
ENSG0104397	GENE4397	1.609	0.12	0.016491528686661372	0.003875348890247816
ENSG0105134	GENE5134	4.299	0.126	0.18678182966583678	0.00390039067643594
ENSG0109412	GENE9412	0.94	0.153	0.00911593961456414	0.003910982860861866
ENSG0100895	GENE895	-3.757	0.442	0.11512122224359755	0.003913367547038721
ENSG0116204	GENE16204	-2.309	0.295	0.031289505604028656	0.003918120539812153
ENSG0109801	GENE9801	-4.419	0.261	0.20958656092971684	0.003927520086370444
ENSG0100046	GENE46	5.235	0.412	0.43738406557455	0.003933425272110567
ENSG0115140	GENE15140	-1.635	0.473	0.0171778737928181	0.003944472337310153
ENSG0109345	GENE9345	2.465	0.236	0.03642199327442264	0.0039631924869442114
ENSG0102705	GENE2705	3.467	0.287	0.08983929381105105	0.0039659486468916596
ENSG0117838	GENE17838	-1.799	0.412	0.020057947023354727	0.003973562855294316
ENSG0107384	GENE7384	5.404	0.298	0.5148460115801341	0.003975514378599765
ENSG0110245	GENE10245	2.031	0.248	0.02477432848354666	0.003980823964373154
ENSG0117577	GENE17577	1.412	0.148	0.014224236778844435	0.003989732377140228
ENSG0103030	GENE3030	-4.038	0.222	0.1511362428370041	0.003991629532921435
ENSG0117629	GENE17629	6.014	0.187	0.8993408616761992	0.00400971389136178
ENSG0114271	GENE14271	-3.371	0.438	0.08385812253691605	0.004035971759290942
ENSG0110538	GENE10538	-0.773	0.179	0.00810001483758882	0.004037931712536963
ENSG0116973	GENE16973	5.708	0.408	0.687533134214372	0.004039880607849716
ENSG0100734	GENE734	3.112	0.428	0.06691867996974687	0.004066849019994606
ENSG0109804	GENE9804	-2.53	0.227	0.039688259213145005	0.004072150458041667
ENSG0115204	GENE15204	-1.634	0.23	0.017734599814967056	0.00407595919849667
ENSG0114530	GENE14530	4.677	0.382	0.27466332168881447	0.004082029543297633
ENSG0115737	GENE15737	-4.183	0.15	0.17644890461117757	0.004087899414837817
ENSG0101624	GENE1624	4.163	0.183	0.17394059541125362	0.004102981563281083
ENSG0115016	GENE15016	-3.215	0.467	0.07412739027917281	0.004104558492462568
ENSG0116020	GENE16020	3.296	0.465	0.0800661675976968	0.0041221320207238425
ENSG0102922	GENE2922	-1.036	0.34	0.01048589052734994	0.004128821638794484
ENSG0105037	GENE5037	4.431	0.294	0.22353020640964327	0.004142458173413754
ENSG0106974	GENE6974	-4.649	0.408	0.2722305762554854	0.0041483042797004115
ENSG0111536	GENE11536	4.752	0.244	0.29905337720480696	0.004154541029229916
ENSG0108532	GENE8532	3.566	0.488	0.10305756782585751	0.0041606672649668885
ENSG0103138	GENE3138	-5.029	0.132	0.38448653331875093	0.004161490910770003
ENSG0113868	GENE13868	1.163	0.189	0.011871391207342485	0.004166950599602545
ENSG0109369	GENE9369	0.49	0.137	0.0064807744541807155	0.004171423779038682
ENSG0115470	GENE15470	3.597	0.477	0.10647547896707199	0.004182026638251587
ENSG0107234	GENE7234	-3.353	0.136	0.08574184568519194	0.004194351799306475
ENSG0116666	GENE16666	4.934	0.343	0.35608833046675437	0.004198855784350062
ENSG0106413	GENE6413	-0.801	0.288	0.00867284000354207	0.004219373464917791
ENSG0107843	GENE7843	3.273	0.248	0.08043053417132762	0.004226463677682533
ENSG0112887	GENE12887	5.583	0.449	0.6431181078590941	0.00422782086816961
ENSG0102649	GENE2649	-1.01	0.442	0.010568766474902569	0.004259400535028167
ENSG0109934	GENE9934	-5.584	0.372	0.6494413399241309	0.004265727883841349
ENSG0109750	GENE9750	3.984	0.102	0.15415327019730496	0.004271357256324432
ENSG0110816	GENE10816	-4.969	0.392	0.37532739442928376	0.004287108421148208
ENSG0115654	GENE15654	5.085	0.472	0.41916709664801977	0.004312125950347239
ENSG0109166	GENE9166	0.596	0.262	0.007381838346930403	0.004319094588079066
ENSG0101914	GENE1914	-4.317	0.254	0.21086213544072419	0.0043322375827777706
ENSG0104415	GENE4415	1.993	0.12	0.026100122831344774	0.0043420225217081915
ENSG0110105	GENE10105	5.585	0.302	0.6645710476880375	0.004359449732369595
ENSG0113332	GENE13332	5.768	0.376	0.7844130710767413	0.004365302721393659
ENSG0104122	GENE4122	-0.455	0.261	0.0065830546990689465	0.0043709968983100195
ENSG0104558	GENE4558	0.971	0.24	0.01048378127728733	0.004376608908732606
ENSG0110891	GENE10891	-5.462	0.386	0.5997008004157866	0.004396625205565179
ENSG0100672	GENE672	5.418	0.281	0.5772682920012938	0.004401112129837218
ENSG0105918	GENE5918	-0.322	0.356	0.005882719907710499	0.004401654080076419
ENSG0116571	GENE16571	-0.533	0.286	0.007110491015059228	0.004401817301596865
ENSG0109684	GENE9684	-1.166	0.289	0.01260980850554072	0.004414247354275153
ENSG0115466	GENE15466	4.494	0.248	0.25380448057585214	0.004444375529399843
ENSG0102225	GENE2225	-0.068	0.475	0.004730318273607481	0.004448459859256615
ENSG0109326	GENE9326	-0.114	0.13	0.004935480019664151	0.004453120663383763
ENSG0108721	GENE8721	2.315	0.234	0.03594045847130167	0.00447367838934865
ENSG0117759	GENE17759	-5.151	0.186	0.4624145853414845	0.004486165331403434
ENSG0111524	GENE11524	0.767	0.243	0.008992965544238674	0.0045108388310714205
ENSG0112295	GENE12295	2.2	0.344	0.032689215141551764	0.004513925463215872
ENSG0116336	GENE16336	5.315	0.223	0.5404817306799343	0.004520574026943706
ENSG0109757	GENE9757	-5.198	0.208	0.48758454632863135	0.004531588289696005
ENSG0100377	GENE377	0.214	0.381	0.005512288231334428	0.004545876405874499
ENSG0101242	GENE1242	5.715	0.429	0.7805190694685851	0.004557726944395251
ENSG0109332	GENE9332	1.437	0.184	0.016643792183582917	0.004565567491600101
ENSG0108792	GENE8792	2.072	0.102	0.02963064646054292	0.004591987691629729
ENSG0102184	GENE2184	-1.419	0.311	0.016481568195901852	0.0045955345146976865
ENSG0113824	GENE13824	5.676	0.298	0.7609303914833306	0.004599494337413715
ENSG0102729	GENE2729	4.984	0.105	0.4083759723572945	0.0046034877799979385
ENSG0113172	GENE13172	0.039	0.454	0.004773514113537103	0.004607489791859618
ENSG0108446	GENE8446	-3.884	0.285	0.15212868610732422	0.004613254868723177
ENSG0107601	GENE7601	-4.419	0.294	0.24673611524095018	0.004624965889374754
ENSG0100828	GENE828	4.172	0.364	0.19787250145786794	0.00463021428770499
ENSG0100963	GENE963	-5.748	0.372	0.8175733433216243	0.004633947543423485
ENSG0101322	GENE1322	5.482	0.168	0.6454086116296323	0.004646764478327927
ENSG0109671	GENE9671	4.693	0.271	0.31889437481984606	0.004670304686694963
ENSG0101100	GENE1100	2.508	0.476	0.04465058137966782	0.0046743562371679825
ENSG0106439	GENE6439	-5.692	0.125	0.7848207874262406	0.0046777010406227025
ENSG0115806	GENE15806	3.722	0.462	0.13337296623358497	0.004681178974885076
ENSG0114594	GENE14594	5.6	0.206	0.7237234030870558	0.004684314156413711
ENSG0105887	GENE5887	-0.293	0.349	0.006100115527610472	0.0046856074012215886
ENSG0102333	GENE2333	-5.541	0.354	0.686771798744093	0.004688200576152557
ENSG0108661	GENE8661	4.477	0.173	0.2636103305646532	0.004688211260557061
ENSG0107768	GENE7768	1.376	0.367	0.01622771550322233	0.0047020491581335885
ENSG0115619	GENE15619	-1.103	0.304	0.012727908563074486	0.00471685721942831
ENSG0116055	GENE16055	-5.456	0.231	0.6413770382861177	0.0047285453840588305
ENSG0108555	GENE8555	0.659	0.157	0.008559987143867409	0.0047306714608556615
ENSG0116781	GENE16781	-5.349	0.17	0.5838205672570689	0.004735884524677134
ENSG0108145	GENE8145	-5.572	0.249	0.7137753824611621	0.004740042867126155
ENSG0114816	GENE14816	5.219	0.342	0.5197595122229446	0.004742059358295845
ENSG0101008	GENE1008	-3.281	0.101	0.09103661011869801	0.004749737344047687
ENSG0109719	GENE9719	5.432	0.259	0.6314298947044382	0.00475624701782538
ENSG0113112	GENE13112	5.521	0.216	0.6857738134162775	0.0047646220913870295
ENSG0111724	GENE11724	0.636	0.129	0.008471947786320655	0.004780687781173997
ENSG0105581	GENE5581	4.955	0.425	0.41457167240513737	0.004795414597811407
ENSG0108132	GENE8132	-3.768	0.332	0.14244533118159153	0.004796117281030835
ENSG0103508	GENE3508	-5.928	0.254	0.9970853220486187	0.0048043650719426815
ENSG0104836	GENE4836	-0.589	0.248	0.00817679402570537	0.00481128256833525
ENSG0117120	GENE17120	-1.93	0.375	0.027375344952002	0.004820180859713847
ENSG0113847	GENE13847	2.094	0.185	0.03178383126392326	0.004827095498746281
ENSG0114411	GENE14411	4.762	0.127	0.35108437654054003	0.004829817694323342
ENSG0106507	GENE6507	1.986	0.212	0.028909284828031345	0.004837130380728485
ENSG0116802	GENE16802	1.696	0.31	0.022267949949176913	0.004838949528055412
ENSG0117909	GENE17909	-2.214	0.349	0.035578966252008626	0.004852140071936998
ENSG0100457	GENE457	1.146	0.298	0.013700710085134293	0.004884418621085412
ENSG0112161	GENE12161	-1.41	0.126	0.017391928967168235	0.004888557460138085
ENSG0110407	GENE10407	3.178	0.15	0.08602259854266991	0.004925330528385686
ENSG0106876	GENE6876	4.701	0.314	0.33903709684981265	0.0049307621262560065
ENSG0100782	GENE782	-3.514	0.107	0.11707985794003284	0.004954909462493501
ENSG0101035	GENE1035	-1.508	0.191	0.019263802769720062	0.004957681335916526
ENSG0103771	GENE3771	0.369	0.331	0.006940390204778546	0.004978642034533884
ENSG0100219	GENE219	5.032	0.352	0.4652027464695059	0.005022220200386393
ENSG0105569	GENE5569	-5.367	0.298	0.6292010487294368	0.005023170946729161
ENSG0103124	GENE3124	-5.59	0.325	0.7698282961982759	0.005030072877109168
ENSG0115930	GENE15930	-0.709	0.163	0.009522681991914528	0.005030468653513092
ENSG0101363	GENE1363	-2.037	0.381	0.031496943986801695	0.0050347229955575315
ENSG0115426	GENE15426	5.483	0.15	0.700971577013751	0.005041294258777596
ENSG0101061	GENE1061	5.748	0.241	0.8921410972704169	0.005054484248029127
ENSG0112509	GENE12509	2.195	0.343	0.03645533547852353	0.005057415618390181
ENSG0113358	GENE13358	5.536	0.403	0.7385977719259137	0.00506692395055653
ENSG0115597	GENE15597	-5.074	0.326	0.48778213685933547	0.0050703810664124195
ENSG0117198	GENE17198	-2.095	0.351	0.033435343512995486	0.005074030632236544
ENSG0115803	GENE15803	-4.981	0.18	0.45076550254500447	0.005095579808571825
ENSG0108919	GENE8919	4.341	0.418	0.2548386358206629	0.005120646725430443
ENSG0100534	GENE534	-3.458	0.37	0.11514368774748784	0.005125472755532481
ENSG0102756	GENE2756	-0.531	0.257	0.008269481989447769	0.005125888189065979
ENSG0108068	GENE8068	-3.536	0.433	0.12358101315691183	0.005129045663882691
ENSG0112807	GENE12807	1.045	0.199	0.013168143538850652	0.005139690296346396
ENSG0101851	GENE1851	-2.472	0.279	0.04757205898965833	0.005143256219282685
ENSG0109992	GENE9992	4.708	0.245	0.3560087280238139	0.005143647377489154
ENSG0101630	GENE1630	-1.862	0.244	0.027527674722532147	0.005150675382642834
ENSG0112567	GENE12567	-4.337	0.445	0.25550138690197965	0.005152605638730499
ENSG0113673	GENE13673	-5.498	0.113	0.7263699682200254	0.005153593200649
ENSG0115142	GENE15142	3.129	0.121	0.08640608864614674	0.005171458296401602
ENSG0104018	GENE4018	-4.723	0.435	0.36376341014647473	0.005186103978091507
ENSG0117146	GENE17146	5.495	0.214	0.7296055133362588	0.005192311781937266
ENSG0112605	GENE12605	-5.099	0.346	0.5135852985514611	0.005218517912256549
ENSG0106258	GENE6258	1.649	0.183	0.0230226100410047	0.005221490814763388
ENSG0113395	GENE13395	5.273	0.155	0.6029237445087937	0.005237239273171791
ENSG0100569	GENE569	3.005	0.364	0.07832065946661138	0.005238744234062936
ENSG0101018	GENE1018	1.676	0.423	0.023684585055617657	0.005242191052613745
ENSG0115844	GENE15844	-2.107	0.341	0.03499046012918039	0.005252925438981092
ENSG0109816	GENE9816	-5.513	0.264	0.7505317230540867	0.005255926714094259
ENSG0104711	GENE4711	-1.607	0.467	0.022388033249678085	0.005269094503740472
ENSG0105856	GENE5856	-3.942	0.124	0.1833431526769087	0.005279928785020604
ENSG0103197	GENE3197	-5.045	0.431	0.49563028703759016	0.005288537038209297
ENSG0110822	GENE10822	5.717	0.127	0.9103171997354608	0.005302972795241613
ENSG0117907	GENE17907	5.716	0.455	0.9108307201799531	0.005310311798313563
ENSG0109182	GENE9182	-1.272	0.197	0.016685225545951643	0.005310416464352244
ENSG0112556	GENE12556	2.0	0.357	0.03213719676061744	0.0053129854704801974
ENSG0107988	GENE7988	-2.18	0.342	0.03784717736065135	0.005318089852673745
ENSG0104616	GENE4616	-4.667	0.167	0.3547325044444931	0.005318863272435063
ENSG0117545	GENE17545	-1.468	0.124	0.01996796102091236	0.005328870413370036
ENSG0110979	GENE10979	3.555	0.223	0.1306633707228022	0.005330394506513056
ENSG0113813	GENE13813	-1.622	0.167	0.022975580168552168	0.005336185028775101
ENSG0114859	GENE14859	3.137	0.153	0.0901150358155759	0.00535193984079705
ENSG0103005	GENE3005	-5.572	0.301	0.8064418449651635	0.005353592835437962
ENSG0106031	GENE6031	-2.377	0.31	0.04556749986620867	0.005362659877867431
ENSG0104473	GENE4473	2.448	0.176	0.04860522912887366	0.0053676932716518995
ENSG0105464	GENE5464	-4.06	0.149	0.20798926991635036	0.005383806378062683
ENSG0114050	GENE14050	-3.641	0.144	0.14262312099263852	0.0053838361551097735
ENSG0102350	GENE2350	-0.12	0.295	0.006011349690958845	0.005398039304533434
ENSG0117826	GENE17826	-0.478	0.143	0.008316413201495343	0.0054104282001153445
ENSG0113297	GENE13297	-1.246	0.408	0.01662584254867927	0.0054175668433053496
ENSG0107488	GENE7488	-1.274	0.332	0.017126754340939687	0.005440278297720423
ENSG0105174	GENE5174	-4.958	0.17	0.4728210509976254	0.005452471190604529
ENSG0109206	GENE9206	4.698	0.284	0.3752140350259755	0.005471509312908813
ENSG0117660	GENE17660	4.504	0.273	0.31539882413353904	0.0054739410024540825
ENSG0107043	GENE7043	-0.301	0.154	0.007175489482306285	0.005474612079698753
ENSG0105522	GENE5522	4.191	0.439	0.23810207866227084	0.005475883099829947
ENSG0109446	GENE9446	-1.933	0.255	0.031225423848852074	0.0054832540246487465
ENSG0113828	GENE13828	-3.132	0.251	0.09226860081073096	0.00550526506213309
ENSG0117515	GENE17515	4.411	0.12	0.2922093643388418	0.005513115978548945
ENSG0105152	GENE5152	-4.621	0.266	0.35296240547683544	0.005516362937393959
ENSG0102693	GENE2693	2.642	0.302	0.059578074491909105	0.005527064096431737
ENSG0110904	GENE10904	0.256	0.288	0.006963851264446874	0.005529992303419653
ENSG0102802	GENE2802	-4.94	0.121	0.47184419959952295	0.005532486232267301
ENSG0117605	GENE17605	-1.617	0.376	0.023708751455335908	0.005532547094707034
ENSG0108799	GENE8799	-4.628	0.305	0.3564448814526945	0.005536645903286837
ENSG0102743	GENE2743	1.803	0.484	0.02806898478534703	0.0055390415721441695
ENSG0104043	GENE4043	3.239	0.229	0.10226533232925084	0.0055415880307993996
ENSG0101579	GENE1579	-5.405	0.238	0.7190399145876686	0.005549184182433382
ENSG0111285	GENE11285	-3.259	0.46	0.10431149500819903	0.005553531105654272
ENSG0112586	GENE12586	4.417	0.437	0.2974029786674386	0.005583116603638879
ENSG0110848	GENE10848	-5.625	0.401	0.8824694677837148	0.005584613731691638
ENSG0105189	GENE5189	-2.25	0.218	0.04231588908883244	0.00558635572627507
ENSG0103499	GENE3499	-5.09	0.283	0.5456231777659418	0.005591976283188781
ENSG0101114	GENE1114	-4.002	0.227	0.20575456450305418	0.0056124221876069965
ENSG0113908	GENE13908	-5.343	0.291	0.6903472890810225	0.0056339613627967465
ENSG0109044	GENE9044	3.116	0.236	0.09337871643624018	0.005653461147998617
ENSG0104883	GENE4883	0.916	0.365	0.012898749607252125	0.0056540977446247155
ENSG0105596	GENE5596	-4.668	0.435	0.37777434328194404	0.005660395190989663
ENSG0117505	GENE17505	1.275	0.266	0.017856990040241882	0.0056694606419502025
ENSG0103903	GENE3903	1.832	0.446	0.029668691194418506	0.005703320468002812
ENSG0102259	GENE2259	3.414	0.245	0.12336761563366405	0.005714421458762943
ENSG0104841	GENE4841	3.925	0.254	0.1957916036917552	0.005720765739123736
ENSG0109592	GENE9592	-4.535	0.474	0.33897472129281014	0.005722948458621949
ENSG0100193	GENE193	-4.01	0.38	0.21157914395558153	0.005730691213460707
ENSG0110874	GENE10874	3.051	0.436	0.08935818650056848	0.005736226268659619
ENSG0101291	GENE1291	4.126	0.245	0.23527784607049562	0.005740196813632848
ENSG0109600	GENE9600	-3.726	0.381	0.1644244093128513	0.005747284517600524
ENSG0117915	GENE17915	4.768	0.181	0.4203681039996966	0.005755027465008363
ENSG0114981	GENE14981	2.346	0.397	0.04772188854028414	0.005775372582956536
ENSG0104167	GENE4167	-4.428	0.115	0.3110778374402118	0.0057810822779670624
ENSG0115849	GENE15849	0.37	0.263	0.008077163536560406	0.005791245716734333
ENSG0117745	GENE17745	-5.642	0.363	0.930067005332467	0.005797242380822298
ENSG0117014	GENE17014	-4.601	0.281	0.3655119501420955	0.0058142587466737524
ENSG0113106	GENE13106	-4.683	0.181	0.39359912381509066	0.0058163277169961
